dispatch_date,shipments,on_time,hub_hours,cost
2026-01-05,31,0.9354838709677419,15.925128060649142,15224.178156665299
2026-01-06,29,1.0,14.803021658092113,14982.435629808133
2026-01-07,22,1.0,9.857810727535165,10081.549034627698
2026-01-08,35,0.8,20.928660717596717,16133.739793153121
2026-01-09,26,1.0,11.157199156563754,12783.299094024085
2026-01-10,19,1.0,11.292333166181052,9830.71902692926
2026-01-11,15,1.0,10.170849337701046,7860.276045287321
2026-01-12,25,1.0,9.810384537034416,13297.751365062984
2026-01-13,29,1.0,12.892537962087074,14926.601574816998
2026-01-14,34,0.9411764705882353,19.33738380777028,17249.556131982252
2026-01-15,28,0.9642857142857143,12.41460407474174,13017.629002777832
2026-01-16,23,1.0,9.10075444195921,13204.612479494635
2026-01-17,16,1.0,9.639346572745525,7261.614715873753
2026-01-18,14,1.0,9.136696638529292,6650.1858346784
2026-01-19,32,0.90625,17.580660922607784,16591.112543979703
2026-01-20,25,1.0,10.054513766785227,13494.337562987615
2026-01-21,36,0.8333333333333334,22.320492472447356,17308.31797407219
2026-01-22,18,1.0,9.90952812234796,7909.943566520642
2026-01-23,27,0.9629629629629629,10.948213514212407,13681.535638991876
2026-01-24,21,0.9047619047619048,11.34054866604857,12057.208127938135
2026-01-25,14,1.0,10.07199993243652,5986.361993910509
2026-01-26,24,0.9583333333333334,9.635872388468378,11481.633468449032
2026-01-27,25,1.0,9.160445659410904,12136.634679466639
2026-01-28,24,0.9583333333333334,9.875691919577562,10659.093731022382
2026-01-29,22,1.0,9.621971541491884,11032.696124579421
2026-01-30,28,0.9642857142857143,12.910303592016549,13015.021863387812
2026-01-31,19,1.0,8.556598930630056,7999.770660459429
2026-02-01,19,1.0,10.765704755850646,10151.072597035964
2026-02-02,36,0.8888888888888888,21.296655644124304,17699.076158533237
2026-02-03,15,0.9333333333333333,8.381649531529654,6612.644305807893
2026-02-04,25,0.96,10.181096591542135,12084.99094431945
2026-02-05,32,0.9375,18.23426619910531,15114.794739105668
2026-02-06,19,1.0,9.007384233959653,9704.677262459423
2026-02-07,17,0.9411764705882353,10.575059428305178,9047.036649127369
2026-02-08,12,0.9166666666666666,10.075386170010058,6265.1153901514535
2026-02-09,22,1.0,9.281364631006765,9918.554516262837
2026-02-10,28,0.9642857142857143,12.834551502430486,15213.517396973348
2026-02-11,38,0.7894736842105263,24.035831042607693,21089.47250426842
2026-02-12,28,0.9642857142857143,12.651322170604649,13762.012970952008
2026-02-13,23,0.9565217391304348,9.983715467447816,10970.879026743407
2026-02-14,22,1.0,10.742113897386476,13485.747777697208
2026-02-15,21,0.9523809523809523,10.31621743933054,9485.380918835588
2026-02-16,21,1.0,11.058366067410859,11656.632009792169
2026-02-17,16,1.0,8.507435485793806,7463.096746951007
2026-02-18,38,0.7105263157894737,23.583804128632995,20600.820063082865
2026-02-19,26,0.9615384615384616,10.28312931376887,12252.43405863064
2026-02-20,21,1.0,11.17509902892973,10792.340460103684
2026-02-21,19,0.9473684210526315,11.614996689689193,11113.704466027135
2026-02-22,17,0.9411764705882353,10.499233070041846,8954.063715063108
2026-02-23,28,1.0,13.230826901077696,13862.324843285354
2026-02-24,27,0.9629629629629629,11.547045653895278,12909.958631873827
2026-02-25,26,1.0,11.349452811120292,12786.507451439633
2026-02-26,24,1.0,9.49484465604271,11089.53137569818
2026-02-27,36,0.9166666666666666,22.044079884156847,20619.306443679514
2026-02-28,14,1.0,13.333587936099045,6841.806685430564
2026-03-01,13,1.0,9.469454721758245,6731.914304457003
2026-03-02,32,0.9375,17.082566012387392,15977.249060950084
2026-03-03,41,0.5609756097560976,26.910444965729745,21390.821662409293
2026-03-04,38,0.6842105263157895,24.48792729434933,20193.046349699143
2026-03-05,38,0.7894736842105263,23.744302144074737,21943.814776612668
2026-03-06,44,0.4090909090909091,31.110179336757767,25660.885096757596
2026-03-07,25,0.92,10.203116676409861,11758.077519464912
2026-03-08,30,0.9333333333333333,14.930896916604972,15763.36377674558
2026-03-09,41,0.4878048780487805,27.222871748617585,20378.36114850101
2026-03-10,36,0.8333333333333334,21.49311401374395,18123.60536399449
2026-03-11,37,0.8918918918918919,22.35583134459868,17760.982742829892
2026-03-12,37,0.7837837837837838,22.914274354654765,19031.981699151256
2026-03-13,46,0.34782608695652173,32.82913050661363,24128.155176391374
2026-03-14,28,0.9642857142857143,12.008816939762038,14792.709075659961
2026-03-15,27,1.0,10.872050646791662,13554.565743565396
2026-03-16,27,0.9629629629629629,10.8503531435532,12550.648560153737
2026-03-17,32,0.875,16.751634234223992,17470.03315099123
2026-03-18,39,0.6923076923076923,25.586664239991904,21769.94522235878
2026-03-19,37,0.7297297297297297,23.47766399282267,19157.015802732196
2026-03-20,33,0.9393939393939394,18.36360138962688,17331.85650406151
2026-03-21,32,0.9375,16.93517926737862,15989.256945855828
2026-03-22,35,0.9142857142857143,20.96171784213817,18262.005364686884
2026-03-23,46,0.2608695652173913,33.03018540141809,23910.948940070288
2026-03-24,46,0.2391304347826087,34.14581635709051,25194.427476967554
2026-03-25,38,0.6842105263157895,24.831115218710394,20249.54135782238
2026-03-26,40,0.55,26.216021764011362,21702.830823572964
2026-03-27,35,0.9428571428571428,20.651367233141425,17993.404602724742
2026-03-28,18,0.9444444444444444,8.865692528829529,8678.370713290251
2026-03-29,27,1.0,12.132614396412984,11380.83229731815
