dispatch_date,shipments,on_time,cost
2026-01-05,177,0.9491525423728814,86896.19678049492
2026-01-12,169,0.9822485207100592,85607.95110468686
2026-01-19,173,0.930635838150289,87028.81740840068
2026-01-26,161,0.9813664596273292,76475.92312440068
2026-02-02,156,0.9358974358974359,76528.33544950449
2026-02-09,182,0.9340659340659341,93925.56511173281
2026-02-16,158,0.9113924050632911,82833.09151965061
2026-02-23,168,0.9761904761904762,84841.34973586407
2026-03-02,248,0.717741935483871,132687.25824263928
2026-03-09,252,0.7222222222222222,127770.36095009338
2026-03-16,235,0.8553191489361702,122530.76155084017
2026-03-23,250,0.592,129110.35621176632
